1;arms_factory;2351.00;10.80;1514.00;0.47;0
1;arms_factory;2280.00;10.32;1436.00;2.04;0
1;arms_factory;2287.00;10.30;1514.00;4.70;0
1;arms_factory;2379.00;12.78;1476.00;2.54;0
1;arms_factory;2291.00;10.25;1488.00;3.74;0
1;arms_factory;2365.00;10.90;1516.00;0.48;0
1;industrial_complex;2285.00;10.65;1444.00;3.14;0
1;industrial_complex;2281.00;10.10;1494.00;5.81;0
1;industrial_complex;2323.00;10.65;1513.00;2.54;0
1;industrial_complex;2296.00;10.30;1493.00;5.21;0
1;industrial_complex;2362.00;11.15;1485.00;1.59;0
1;industrial_complex;2380.00;11.00;1507.00;4.25;0
1;air_base;2277.00;10.00;1510.00;0.99;0
1;supply_node;2305.00;11.15;1433.00;5.75;0
1;supply_node;2333.00;11.75;1454.00;0.94;0
1;supply_node;2413.00;12.78;1494.00;4.98;0
1;supply_node;2293.00;10.70;1458.00;0.18;0
1;supply_node;2299.00;10.40;1485.00;3.12;0
1;supply_node;2372.00;11.95;1477.00;0.87;0
1;supply_node;2307.00;10.30;1506.00;2.35;0
1;supply_node;2376.00;11.20;1494.00;5.28;0
1;supply_node;2329.00;10.45;1515.00;1.59;0
1;supply_node;2394.00;10.80;1510.00;4.52;0
1;supply_node;2281.00;10.10;1524.00;6.00;0
1;supply_node;2329.00;13.75;1428.00;3.76;0
1;supply_node;2328.00;11.30;1494.00;0.41;0
1;supply_node;2283.00;10.55;1433.00;1.89;0
1;supply_node;2353.00;10.80;1516.00;5.93;0
1;supply_node;2316.00;10.20;1526.00;1.13;0
1;supply_node;2341.00;11.68;1476.00;4.07;0
1;supply_node;2374.00;10.98;1512.00;0.72;0
1;supply_node;2354.00;11.25;1496.00;3.30;0
1;supply_node;2317.00;11.00;1474.00;6.24;0
1;supply_node;2282.00;10.20;1480.00;1.43;0
1;supply_node;2393.00;13.12;1487.00;5.47;0
1;supply_node;2352.00;14.05;1423.00;2.12;0
1;supply_node;2298.00;10.10;1526.00;3.61;0
1;supply_node;2341.00;10.20;1527.00;1.36;0
1;supply_node;2363.00;10.30;1527.00;2.84;0
1;supply_node;2382.00;10.40;1526.00;5.77;0
1;supply_node;2402.00;10.20;1527.00;3.54;0
1;supply_node;2426.00;10.18;1526.00;5.01;0
1;supply_node;2416.00;10.55;1513.00;1.67;0
